attribute,sakey,svkey,1903,2001,2002,2003,2004,2005,2006,2101,2102,2103,2104,2105,average_imputed_distribution,round
396556,396556,396557,8.225387730977894E-5,4.3123598919336066E-4,8.597110511550121E-4,9.311946509459654E-6,9.454953461280199E-4,0.0013652798900804673,0.0013931441201617744,7.173764545010491E-4,0.001007712446259209,0.0010409832501354062,0.0026724899205657184,0.0013046281078939671,9.858018666577687E-4,0
381567,381567,381573,8.233616851042016E-5,6.792126353300094E-5,8.438310971106294E-5,9.914246159583772E-5,"",1.569504626377144E-4,1.4406805527067965E-5,"",2.848413327904009E-4,1.4736285678523526E-4,"","",7.811203842422836E-5,0
391970_391980,391970,391980,0.02892391895293078,0.046807201470636536,0.013023353836383303,0.019202089890749667,0.036809408726849735,0.04806876916087489,0.04917702719785893,0.03379030711144426,0.06328047088069899,0.04337526605020889,0.05398810832168442,0.07609035884462148,0.04271135670374516,0
290887_322914,290887,322914,0.0751017260214194,0.11551274640693117,0.09447907221849243,0.12266904678604523,0.09035579907552033,0.12980316298585268,0.13079395885923362,0.08607645661944503,0.09281899055777477,0.11719146674577183,0.10041440135199454,0.13460972131847654,0.1074855457455798,0
377016_377018,377016,377018,0.6276438751899133,0.5514874434743857,0.5506663334211667,0.5779895069948743,0.5859923741308609,0.5669912497248133,0.5447787665774687,0.5846847359371078,0.5652755646746537,0.5260663422394648,0.5750832576385152,0.5313931668104839,0.5656710514011424,0
396100_396181,396100,396181,0.9654053710275868,0.9731099846280903,0.9644526144990775,0.9659083144928342,0.9643710477901539,0.9678799714443459,0.9722314637811008,0.9638245962399199,0.9391262887058196,0.9262000219131087,0.9106815637764074,0.929493229294467,0.9535570389660761,0
380473,380473,380475,0.9586577893629454,0.944678286890862,0.9355569974733291,0.8705931002357156,0.9773737985098725,0.9455902042513935,0.966598402370337,0.970690949643056,0.9847456323926858,0.9713051969645322,0.9848694439157415,0.9748512666870269,0.9571259223914582,0
151871,151871,151943,0.1530377156823922,0.1724048709516241,0.22253682169627856,0.25599655033482666,0.19476739567166343,0.25217396106916645,0.14838621080565362,0.18808335672033363,0.2709750959230458,0.2498556503277435,0.268182299278742,0.23867322746404934,0.2179227629937933,0
385475,385475,385476,"","","","","","",2.4878382995940126E-4,"","","","","",2.0731985829950105E-5,0
128842_144127,128842,144127,0.0430480487681146,0.09594060908668797,0.1337458106053763,0.1674454237609633,0.1598686524294829,0.14311820595521485,0.11714592494716611,0.15324295724383072,0.08889523490470354,0.09357497022575073,0.08462152251850323,0.0853332969693144,0.11383172145125904,0
384027,384027,384029,0.32555401532309414,0.32511684517755574,0.3397672862839722,0.33674633965192524,0.33787705020989056,0.3006184129636872,0.2911567856990464,0.2700626114120248,0.16219444666267213,0.2559884511394528,0.28083510014826435,0.2003432127783291,0.28552171312082625,0
364213_364215,364213,364215,0.9176926909686752,0.9261519231618577,0.9705120837119414,0.9570697204676978,0.9094480843492391,0.9415964425488781,0.9707556646725776,0.9668793404473432,0.937681140954134,0.957087188468334,0.8888661319494507,0.8697117032223032,0.9344543429102027,0
312104_383564,312104,383564,0.04459515166992709,0.03661326864483989,0.019535655358306266,0.02870073580138685,0.033531547299988994,0.03162450689406878,0.03896831974357489,0.060218460389908475,0.039348987364134086,0.03606233071426681,0.031344331024032134,0.03072267179663116,0.035938830558422126,0
130622_146173,130622,146173,0.6011465402749858,0.5458225589951701,0.4926883522972557,0.47869544881650083,0.482589060619175,0.43381963746562985,0.44683482408372843,0.47170317029404146,0.307052030796599,0.3739553420317616,0.39185044413804493,0.3221063337482301,0.44568864529676017,0
387570,387570,387573,0.41247575936186215,0.2955596979853812,0.2362131171170651,0.17382936521297612,0.2230648928363418,0.17828892506523264,0.24235453555190367,0.25197178471480036,0.21707269337582444,0.20761981163771379,0.24334093727557407,0.28214715782988375,0.2469948898303799,0
388803_263799,388803,263799,0.21352988823737065,0.16079823304346635,0.18649440243851328,0.21069532681866698,0.17983735934230952,0.2186101463642756,0.19906734933136244,0.14753324172452079,0.1705489140521154,0.26114194213433123,0.1658478949302327,0.13609166943322046,0.18751636398753213,0
385469,385469,385472,0.5262268644236395,0.4866001398266866,0.5974032766744124,0.5063416057763354,0.5315539714226104,0.5051179290367661,0.5010895698660358,0.48876105312288726,0.5116815427915294,0.5018571057919903,0.3877878858657307,0.4635029033899326,0.5006603206657131,0
386901,386901,386903,0.28689226472256213,0.3522373739248334,0.25676343021976344,0.18889750260928995,0.2265287589133819,0.24941700155098886,0.23353663388864887,0.2768978560436807,0.2967770441052332,0.33023840021457634,0.31307709596212274,0.26974682223016544,0.27341751536543724,0
381315,381315,381316,0.5855991711040283,0.5516397262532647,0.561329700527712,0.5947191500766852,0.5651867458960551,0.5590159279020434,0.5651019580639701,0.5967595678144023,0.5813263978127197,0.5653183721105765,0.5618095080566896,0.5299832023642198,0.5681491189985305,0
368864,368864,368868,0.5412476692894818,0.5113479764473856,0.4075082936425857,0.32167084596176665,0.4449140082423765,0.44804237580829925,0.44215102806944245,0.3758624082294744,0.5011996287983238,0.448220931381649,0.47387367057212126,0.5230332169006462,0.45325600444529607,0
391716_391721,391716,391721,0.2734451527092693,0.22798070826385736,0.29071338470782665,0.23113602970649563,0.2871555104630915,0.29235151226706985,0.2543244895964286,0.21197243887137865,0.3210713909084296,0.3135920691952507,0.2623849143455029,0.24814203965426232,0.26785580339073856,0
154224_154426,154224,154426,0.02097420899249443,0.01069846463786829,0.01800695099143555,0.028430035070104703,0.029495152992823265,0.03784913054892468,0.027055594505848123,0.023132372301900336,0.032218029185618634,0.02271244403057793,0.026323630674842988,0.022328602065021148,0.024935384666455007,0
380282_380290,380282,380290,0.3637924536920267,0.41984409982611254,0.4162715429008418,0.4050094836675669,0.46916033510729493,0.4588249433709356,0.4322313731708497,0.48442271099989537,0.46581725866295476,0.396876436977787,0.41783511556010455,0.43773078722699316,0.4306513784302803,0
392314_392319,392314,392319,0.1335701506507525,0.08475362569383321,0.04589345166356453,0.05915847195625484,0.10147679820167134,0.09952052930537636,0.09186364640731133,0.067684040770292,0.14649314293819976,0.062315645983389255,0.09524949579203586,0.11366119310621306,0.09180334937240785,0
377814,377814,378719,0.8280605580783619,0.8100426865562258,0.8636539294359001,0.8600664231649078,0.822301012646677,0.8674009587025229,0.7849630718809636,0.794213739994921,0.8471357466272013,0.8045746323789945,0.8335435980674658,0.8441342448785449,0.8300075502010573,0
388889,388889,390106,0.36234257402150394,0.3336100537392091,0.4142302511189149,0.29527097486666043,0.32011632510002636,0.3842883809171139,0.4241168701397058,0.40762188050739767,0.3863851636586668,0.4095615744358665,0.4105024376427557,0.4203903528222961,0.3807030699141764,0
129386_144742,129386,144742,0.09838038631916221,0.11150506853952741,0.10234812771290241,0.1076076581676538,0.11002410757220374,0.10560468637026027,0.10144065244778848,0.033934769536995445,0.09507123199646947,0.094075602016001,0.095256093927457,0.09608816418767925,0.09594471239950837,0
159751_160932,159751,160932,0.17706582532766682,0.05520847637798901,0.20558018617240206,0.21217319856267974,0.24111456619346108,0.2289525760449358,0.15584712521263355,0.19574573448075347,0.20527882691380311,0.20894800062456861,0.20734929525373255,0.22167278433940638,0.1929113829586693,0
295272_295288,295272,295288,0.15939561748416975,0.12054084858014619,0.10408961824769479,0.12725436022800637,0.09621019312677757,0.09848448348540509,0.1118197966654182,0.07644522683619218,0.06601322594565127,0.06304774673521273,0.07787544865381671,0.07591065194318103,0.09809060149430597,0
396625,396625,396630,0.19426159157292266,0.2009829777650736,0.18584072473005805,0.18183982195151904,0.16749214186686354,0.15121483265853944,0.17963717203598747,0.19041481299725227,0.08456513743012119,0.09466198618474903,0.10887036584519594,0.086126658371518,0.15215901861748338,0
395259_395270,395259,395270,0.7879809278423874,0.8114968740453048,0.7177993606811666,0.7414562590615195,0.7607648488695461,0.7539709107165032,0.7267562823062456,0.6799011272407167,0.8674593126264774,0.7267474712814231,0.8744137758696248,0.8573479534824002,0.7755079253352761,0
384081,384081,384088,0.09942830315334714,0.10232472760198107,0.04312910574145561,0.08707345538655065,0.0800803681431779,0.0890528326249996,0.13393296831041138,0.10387414137885141,0.07200844140467352,0.036419376049430026,0.07973199794003488,0.10699139615110259,0.08617059282383466,0
128842_367939,128842,367939,0.4841965010409224,3.227132394418098E-4,"","",1.3050980109948962E-4,1.699839505214702E-4,8.878096100942888E-5,"",0.0030592622777525728,7.669629921721585E-5,0.0011530080888818924,0.0013287956404638304,0.04087718760827584,0
376965_376967,376965,376967,0.693468077760679,0.8284198433083904,0.8259483572724463,0.8374894501161442,0.8094667979084518,0.7917510227774895,0.842779207150155,0.8226789044436558,0.8201510413669643,0.8288301106359252,0.8476116065759131,0.8580865620049218,0.8172234151100947,0
283731_283748,283731,283748,0.06152401742303116,0.06268360525836633,0.0684231070100767,0.05833998477455414,0.06953208925995978,0.06836008005319012,0.07281941573136709,0.07148628855512573,0.04912667392308712,0.06767305547510652,0.06660857774305878,0.0688372786887958,0.0654511811579766,0
349898_387506,349898,387506,0.689250012935683,0.7071431063933205,0.7170128861038029,0.6676089267112689,0.6825638962390526,0.661881239889965,0.7693280531313286,0.7304434394434545,0.6876072754930119,0.7025967263407945,0.6890568610074538,0.7161158916017524,0.701717359607574,0
376811_376818,376811,376818,0.056576115986653845,0.19727872641938038,0.21015042741318715,0.2095802351641986,0.2059705915684437,0.2067998916096236,0.12582109050339785,0.2161538044606751,0.0924684866904221,0.18075376687401767,0.20059674961333604,0.22515647183388313,0.17727552984476824,0
378235,378235,378861,0.9496888345314067,0.9206530748833397,0.9668294178637162,0.9391781687826556,0.9729354849729107,0.9719086682365731,0.9750429767469391,0.9687272104668817,0.970964388398497,0.9882598636728732,0.9697637055983984,0.9706407018882082,0.9637160413368665,0
384262,384262,385155,0.3257624616323911,0.4447502606584856,0.7290629256566005,0.5522759881433722,0.5351161183782295,0.5542471557260268,0.4490907711826276,0.4576228838979318,0.3553295714696607,0.5978848561155226,0.5747168526965546,0.46147278433715605,0.5031110524912131,0
388803_263801,388803,263801,0.0876632700477457,0.10577161436015037,0.10121178241218827,0.1347623239534599,0.11963539678201353,0.11494869709745051,0.12042125179189828,0.09756869783214807,0.08027324016174901,0.06470322626752308,0.10601247250129997,0.0894591683806073,0.10186926179901949,0
394811,394811,394815,0.11179424953964398,0.1036335276847505,0.09783556541150187,0.1540050796380425,0.11409500887421493,0.10935181053941061,0.12814158717799595,0.09993974471991897,0.11490362293701109,0.09534256320113911,0.11590666908172376,0.09178823608793217,0.11139480540777376,0
385513,385513,385518,0.3956321158151133,0.3178081603564195,0.3844647688470078,0.32307537466020997,0.372463946216079,0.3524203896368322,0.3457469773863858,0.4454752422962354,0.5123470232102615,0.40944851486880757,0.3881246952046959,0.38002082394652076,0.3855856693703807,0
