attribute,sakey,svkey,multi,label,prod_distribution,needs_imputation,n_respondents,calc_distribution,1903,2001,2002,2003,2004,2005,2006,2101,2102,2103,2104,2105,imputed_distribution,simulation_distribution,lower_bound_distribution,upper_bound_distribution,bounded,iteration
283887,283887,283894,false,6,0.0405179,true,8941,0.039735060810823127,0.13982763335477724,0.0,0.0,0.0,3.769341815450084E-5,0.011027368158453515,8.77547942632917E-5,0.06837928583859516,0.0,0.0,0.04674647594938424,0.01155671810492711,0.02313857746821292,0.03982176286836412,0.03355379117272636,0.04586435904694082,false,1
283887,283887,283888,false,0,0.1433095,true,8941,0.14318633880514026,0.19365941109767273,0.24063928665639503,0.13318047138058453,0.0968135859536831,0.11238988478077666,0.12006166460411077,0.13484306264681659,0.10939354658284667,0.10611990394494071,0.09960696071811115,0.11253055342422733,0.11174572233852872,0.13091533784405784,0.14321823844029044,0.13231573152745704,0.15379526353299844,false,1
283887,283887,283889,false,1,0.33736746,true,8941,0.3376951914531534,0.33190293794074904,0.3825400051448635,0.44225359037221296,0.5646830749402734,0.522021852645744,0.47774049281199416,0.5065428618821489,0.47890325273381773,0.5625052227652474,0.5479501939130788,0.5442968798390723,0.495723045760687,0.4880886175624906,0.33781310060111885,0.32206276713463716,0.3518090056622153,false,1
380337,380337,380338,false,0,0.27471199,true,6006,0.27471198718883993,0.4101413500124726,0.401781911048148,0.39623191327353185,0.34680688158153244,0.40788906266602715,0.47759335703699746,0.48562326381169696,0.5382976139770546,0.603667660481347,0.521121016057361,0.5042720759402514,0.5031256908540472,0.466379316395039,0.27466659291658385,0.2563792855604148,0.29179421317579457,false,1
380337,380337,380339,false,1,0.17849196,true,6006,0.1784919619843246,0.18739262229311723,0.2188884076627736,0.20009352444838088,0.2440732022511676,0.249442410770999,0.23499910579363925,0.19341124773411078,0.17588782164053263,0.10143715628653388,0.16569854972733913,0.16747200620083927,0.1822710512844063,0.1934222588411533,0.1785349296997176,0.16519010768424566,0.19386210676724,true,1
380337,380337,380340,false,2,0.03628415,true,6006,0.03628415363517898,0.0,0.0,0.0087614271601145,0.0,0.03917003396649005,2.6489943567106457E-4,0.0,0.0,8.613806993046665E-4,0.0,0.0014204976590377176,0.0,0.0042065199100515,0.036184242110236894,0.029202490537315346,0.043777419489203655,false,1
380337,380337,380341,false,3,0.06300848,true,6006,0.06300848285425396,6.624347219092671E-4,0.060761854939222294,0.015431795246180302,2.688026374914827E-4,0.0,4.69559011285419E-5,0.001577573534970752,0.0573302533347213,0.0,0.0026119020524953225,6.66650456949028E-4,0.0,0.011613185235422355,0.0631146599196266,0.05306100813939694,0.07280539279282812,false,1
380337,380337,380342,false,4,0.10317453,true,6006,0.1031745285356905,0.10399476463921142,0.04507532122053114,0.05996429743487224,0.06525301413730249,0.06331968125870378,0.04889589245101088,0.0734001739469552,0.05270106128617162,0.03848940448030229,0.04111408415232365,0.06597315612210838,0.03756178762531185,0.057978553229567076,0.10323354551989031,0.09048632323129094,0.11640219682352529,false,1
380337,380337,380343,false,5,0.24027569,true,6006,0.2402756936199002,0.2424799708456402,0.2433065452860456,0.22532749091084467,0.24665879181833408,0.22892279662989953,0.22496237220041565,0.2249194525993991,0.15323274683959276,0.14773180227446472,0.24327895728442434,0.22849162373453444,0.1830312596740643,0.2160286508414716,0.24024832560181925,0.22361736893248857,0.2574758806201132,false,1
380337,380337,380344,false,6,0.10405319,true,6006,0.10405319218181203,0.055328857487649936,0.03018595984328195,0.094189551526076,0.09693930757417098,0.011256014707882449,0.013237417181136475,0.021068288372866364,0.022550502921923725,0.10781259577805151,0.026175490726054337,0.03170398988628377,0.09401021056216813,0.050371515547295465,0.10401770423212568,0.09147432337050952,0.11732569935435665,false,1
383688,383688,383689,false,0,0.12697078,true,6052,0.12697077732115628,0.12964151567005527,0.13458729855104287,0.04555497175167342,0.11752574188525823,0.08024766975662756,0.06300755340582173,0.09935286943618911,0.13357909379719712,0.09079841639437532,0.07210519483773692,0.05699015921040859,0.13882672191898968,0.09685143388461465,0.12681505426769146,0.11545152797963941,0.13897196048311586,false,1
383688,383688,383690,false,1,0.06263574,true,6052,0.06263573992125679,0.011363176393434272,0.06385811375576825,2.1840175568023652E-4,6.973572304136007E-5,0.019217937285697796,1.543567158079629E-4,1.7155376518487612E-4,0.012298526338238002,4.727742060210238E-5,0.0,0.0,7.252867907474873E-6,0.008950527668446862,0.06266933269395614,0.05435425106874742,0.0712243339299027,false,1
383688,383688,383691,false,2,0.066099,true,6052,0.0660990048219771,0.0,0.0,0.0,0.0,0.020280538410063446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016900448675052871,0.06607194696252049,0.057013440466096806,0.07570650592916918,false,1
383688,383688,383692,false,3,0.31530486,true,6052,0.31530486414543496,0.43514255805179514,0.40837659699216616,0.5059233528157012,0.38834949581631006,0.4521880465116737,0.5381297914484043,0.5430110468626422,0.4084003588520446,0.46576300762495343,0.46957959386168596,0.4421083355189125,0.36534330411931787,0.4518596240396338,0.315477767672645,0.29754529498483784,0.3338234290590046,false,1
383688,383688,383693,false,4,0.14021397,true,6052,0.14021397114450135,0.23970896125929964,0.21136838466368843,0.12786498750292052,0.1516205162354194,0.1399229483811738,0.12995577854567447,0.1519461658175516,0.13289710840430122,0.15095611147730298,0.1352470723649317,0.14654501625377328,0.19377974999864822,0.15931773340872377,0.14033951636126357,0.1273747509958774,0.154232169096198,false,1
383688,383688,383694,false,5,0.13959933,true,6052,0.1395993289491992,0.042375623984383236,0.03972752540007663,0.14106157421737475,0.1384251844983922,0.13062055021954366,0.1087174330370057,0.06672169324707976,0.13957140808785803,0.13520441091103394,0.16584212494045825,0.13649259303134087,0.14354147593028954,0.11569179979206973,0.13940526465182387,0.12658387332492005,0.15254130479921107,false,1
383688,383688,383695,false,6,0.14917631,true,6052,0.1491763136964737,0.14176816464103212,0.1420820806372589,0.1793767119566488,0.2040093258415811,0.1575223094352185,0.16003508684728457,0.13879667087134964,0.17325350452036137,0.15723077617173303,0.15722601399518749,0.2178638959855658,0.15850149516484668,0.1656388363390057,0.14922111739009955,0.1372997748301733,0.16228899871719646,false,1
262521,262521,261313,false,0,0.14478584,true,2785,0.14478583890549318,0.12820960740845871,0.09105506494164772,0.12888028154269088,0.13736714627860366,0.056404096275502226,0.13863096008536746,0.139297464076435,0.0429502241673655,0.0848338987020062,0.13892258145249095,0.09011657767602571,0.16096632402235717,0.11146951888574595,0.14507241572437482,0.12754494148445072,0.16441954663772895,false,1
262521,262521,261314,false,1,0.12595557,true,2785,0.12595556775814903,0.04598261458896121,0.0,0.0,0.0,0.01674276089254774,0.0,0.0,0.06337470337220924,0.12590089750856134,0.15459927344504557,0.12644630927206535,0.0,0.044420546589949206,0.12598635282387347,0.1103015754501434,0.1437820380494785,false,1
262521,262521,261315,false,2,0.17562014,true,2785,0.1756201420957864,0.1895398519875927,0.11314821459899566,0.3220257262252505,0.16878013534451936,0.16221678469532072,0.15813791932822965,0.16730727763909217,0.16448198034147543,0.1727332926783313,0.1419514188477419,0.1693347187831852,0.219378591914086,0.17908632603198507,0.1757890171361028,0.15558992306108,0.19426404954792204,true,1
262521,262521,261316,false,3,0.1077927,true,2785,0.10779270073298884,0.0,0.10470307758546059,0.0,0.0,0.018455811922212267,0.0,0.0,0.029774039252910254,0.0,0.016218916813891513,0.0,0.0,0.014095987131206219,0.10768728667054353,0.09341524323019007,0.12261560399940515,false,1
262521,262521,261317,false,4,0.09658727,true,2785,0.09658726610147207,0.16437322514462094,0.35168321377712,0.22856376969499326,0.3469309155578621,0.39531691842913774,0.3008511725125408,0.10036671768458658,0.089835340089897,0.1127847485584519,0.08839614882986535,0.2452210892968835,0.21303905204400492,0.21978019263499704,0.09658614798506195,0.08069099667876145,0.11236543063286125,false,1
262521,262521,261318,false,5,0.05272357,true,2785,0.052723572481797425,0.047257109226983944,0.04751639058480443,0.02328895943672367,0.04097423160056128,0.04634798129250608,0.050447664446929406,0.14236722031293003,0.057951412040830236,0.22190072368075958,0.060546380652926286,0.07885510515794393,0.08750213695754276,0.0754129429492868,0.0528603768036105,0.04189243176347697,0.06457703067672223,false,1
262521,262521,262522,false,6,0.29653491,true,2785,0.29653491192431336,0.4246375916433833,0.2918940385119737,0.2972412631003417,0.3059475712184553,0.3045156464927747,0.3519322836269345,0.4506613202869556,0.5516323007353083,0.28184643887188987,0.3993652799580385,0.2900261998138952,0.31911389506200977,0.3557344857768301,0.29601840285643266,0.27277520286699414,0.3221630449378576,false,1
273958,273958,273959,false,0,0.01824732,true,11460,0.018247318841408317,0.011940597559900777,0.0,0.0,0.015462367114744887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022835803895538053,0.018262642807993373,0.014939100983990122,0.02168772866994305,false,1
273958,273958,273960,false,1,0.18934391,true,11460,0.18934391053389266,0.13696953224775885,0.11874964492248842,0.02326171070547618,0.03420643586675082,0.06745341751530949,0.04994683612681947,0.16037185009219265,0.07724637483242149,0.19006795942594887,0.19007768153175159,0.09031884405023886,0.09410308540413835,0.10273111439344125,0.18938397301103413,0.1794907602963039,0.19974510713975002,false,1
273958,273958,273961,false,2,0.17854533,true,11460,0.17854533065927594,0.16981425232889347,0.13941338168686024,0.255986933563346,0.1711986904097174,0.18473138717263998,0.17951621609506185,0.18474221534538632,0.21500433895188759,0.18332656285829238,0.17331311154613704,0.17808121033552043,0.13162746200920333,0.18056298019191216,0.17860693168115585,0.16917652220813356,0.1886456831449348,true,1
273958,273958,273962,false,3,0.25485693,true,11460,0.2548569298800376,0.30075986363623214,0.34249782834436393,0.328126241661292,0.39031349406746296,0.3645296523476273,0.3906379343126484,0.35141826463264303,0.26065218645448474,0.4430785829932339,0.39005976795130287,0.531561339889267,0.45069074438340817,0.37869382505616384,0.2548107778525752,0.2441221062598201,0.26497770243493163,false,1
273958,273958,273963,false,4,0.03053018,true,11460,0.03053018199366202,0.01997820171748104,0.0,0.0,0.0,0.0,1.0529676797061293E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0016657276161898419,0.030511408904390212,0.02583531834704068,0.03531998457135608,false,1
273958,273958,273964,false,5,0.2963159,true,11460,0.2963159034889559,0.33063401122429,0.3990088924944326,0.3600081030664976,0.3882666654495379,0.3830420554356048,0.345266732903951,0.3022399540518325,0.4155101584027206,0.18352689472252703,0.24654943897080683,0.20003860572497636,0.28428565349878815,0.3198647638288305,0.2963344941321547,0.2838713970465792,0.30816225504578854,false,1
273958,273958,273965,false,6,0.03216042,true,11460,0.032160424602767086,0.029903541285442738,3.3025255185669577E-4,0.03261701100338897,5.52347091789012E-4,2.4348752881807575E-4,0.034621750884721636,0.0012277158779461892,0.03158694135848585,0.0,0.0,0.0,0.03929305470446053,0.014198008523909143,0.03208977161069586,0.027734089810625116,0.036698952200554816,false,1
394768,394768,394769,false,0,0.1967034,true,9148,0.19670340054832536,0.06325141404994679,0.10617061783266753,0.10673101796276588,0.09612544668693089,0.08494091694418372,0.0668925193902822,0.11492689736719314,0.06530921793059778,0.12179629546901213,0.13260592365965673,0.2005661031112397,0.14556892928767493,0.10874044164101264,0.19682590556662108,0.18559811213449445,0.20916490750746,false,1
394768,394768,394770,false,1,0.06515027,true,9148,0.06515026578578051,0.04641124921756022,0.0076228213394936165,0.0023196793287860984,0.02089699366293666,0.026592368124774234,0.019755760180525894,0.01752346819627866,0.024254453727762616,0.03560353066766178,0.03610812599277793,0.030869240091682265,0.03751493470119903,0.02545605210261992,0.06526532189241249,0.05813216393473995,0.07257013438912041,false,1
394768,394768,394771,false,2,0.06962695,true,9148,0.06962695313795686,0.06684787362923628,0.06251875486029569,0.07775341956130684,0.06524714268252295,0.06922324452868692,0.07645739701334303,0.07303884768489398,0.0728752497842001,0.07043088575753462,0.06654391946158847,0.07104339217645347,0.06609889363411099,0.06983991839784778,0.06988821395224118,0.06181954716273953,0.07750530343840022,true,1
